tx_id,tx_type,strategy,selected_strategy,payload_bytes,cross_border,end_to_end_latency_ms,security_score,running_mean_latency_ms
246,IssueCBDC,adaptive,static_hybrid,312,False,10.086,82.72,109.855
247,Transfer,adaptive,static_hybrid,196,False,8.944,83.21,109.447
248,Transfer,adaptive,static_hybrid,256,False,10.066,81.10,109.046
249,Transfer,adaptive,ml_optimized,244,True,194.402,84.50,109.389
250,Transfer,adaptive,static_hybrid,240,False,9.372,82.36,108.989
251,SettleCrossBorder,adaptive,ml_optimized,349,True,163.865,82.71,109.207
252,SettleCrossBorder,adaptive,ml_optimized,410,True,215.729,84.70,109.630
253,Transfer,adaptive,static_hybrid,175,False,9.127,81.89,109.233
254,Transfer,adaptive,static_hybrid,219,False,9.544,83.16,108.840
255,SettleCrossBorder,adaptive,ml_optimized,313,True,174.478,84.39,109.098
256,SettleCrossBorder,adaptive,ml_optimized,415,True,221.265,81.76,109.536
257,IssueCBDC,adaptive,static_hybrid,268,False,10.160,81.70,109.149
258,SettleCrossBorder,adaptive,ml_optimized,383,True,300.687,82.41,109.892
259,Transfer,adaptive,static_hybrid,179,False,9.103,81.92,109.502
260,IssueCBDC,adaptive,static_hybrid,340,False,10.114,82.69,109.120
261,Transfer,adaptive,ml_optimized,305,True,308.105,83.75,109.883
262,SettleCrossBorder,adaptive,ml_optimized,276,True,296.287,81.25,110.594
263,Transfer,adaptive,ml_optimized,272,True,187.780,83.22,110.888
264,Transfer,adaptive,static_hybrid,217,False,9.330,81.84,110.503
265,IssueCBDC,adaptive,static_hybrid,337,False,9.790,82.66,110.123
266,Transfer,adaptive,static_hybrid,235,False,9.300,83.19,109.744
267,Transfer,adaptive,ml_optimized,207,True,256.949,82.42,110.295
268,Transfer,adaptive,ml_optimized,198,True,163.314,82.21,110.493
269,Transfer,adaptive,ml_optimized,297,True,204.164,82.42,110.841
270,Transfer,adaptive,ml_optimized,185,True,269.451,83.73,111.429
271,SettleCrossBorder,adaptive,ml_optimized,389,True,330.720,81.20,112.238
272,Transfer,adaptive,ml_optimized,288,True,170.933,82.17,112.454
273,SettleCrossBorder,adaptive,ml_optimized,351,True,219.935,82.46,112.847
274,Transfer,adaptive,static_hybrid,223,False,9.229,83.36,112.469
275,SettleCrossBorder,adaptive,ml_optimized,348,True,207.349,82.07,112.814
276,IssueCBDC,adaptive,static_hybrid,388,False,10.339,81.57,112.443
277,IssueCBDC,adaptive,static_hybrid,359,False,10.119,82.25,112.073
278,Transfer,adaptive,ml_optimized,191,True,165.080,82.88,112.264
279,Transfer,adaptive,static_hybrid,212,False,9.352,83.36,111.895
280,Transfer,adaptive,static_hybrid,279,False,9.381,81.75,111.529
281,SettleCrossBorder,adaptive,ml_optimized,473,True,148.968,84.16,111.662
282,SettleCrossBorder,adaptive,ml_optimized,292,True,310.743,83.98,112.368
